Unit_Name,Designation,State,Region,NPS_Fee_Acres,NPS_Less_Than_Fee_Acres,Other_Federal_Fee_Acres,Subtotal_Federal_Acres,Other_Public_Acres,Private_Acres,Subtotal_Non_Federal_Acres,Gross_Area_Acres
KNIFE RIVER INDIAN VIL NH,National Historic Site,ND,Midwest,1457.24,136.41,0.0,1593.65,0.0,155.15,155.15,1748.8
LAKE MEAD NRA,National Recreation Area,AZ-NV,Pacific West,1392721.19,41.31,78230.76,1470993.26,2444.75,22367.52,24812.27,1495805.53
LBJ MEM GROVE,Other Designation,DC,National Capital,17.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0
LAKE ROOSEVELT NRA,National Recreation Area,WA,Pacific West,331.31,0.0,100059.0,100390.31,0.0,0.0,0.0,100390.31
LAKE MEREDITH NRA,National Recreation Area,TX,Intermountain,43964.63,0.0,1013.0,44977.63,0.0,0.0,0.0,44977.63
LAVA BEDS NM,National Monument,CA,Pacific West,46692.42,0.0,0.0,46692.42,0.0,0.0,0.0,46692.42
LASSEN VOLCANIC NP,National Park,CA,Pacific West,106448.11,0.0,0.0,106448.11,0.0,140.91,140.91,106589.02
JOHN MUIR NHS,National Historic Site,CA,Pacific West,338.3,0.0,0.0,338.3,3.9,1.94,5.84,344.14
JOHN DAY FOS BEDS NM,National Monument,OR,Pacific West,7082.05,1403.05,4971.06,13456.16,134.54,471.32,605.86,14062.02
JOSHUA TREE NP,National Park,CA,Pacific West,779163.11,0.0,25.4,779188.51,2572.74,8874.49,11447.23,790635.74
JOHNSTOWN FLOOD NMEM,Memorial,PA,Northeast,167.42,1.24,0.0,168.66,5.55,3.55,9.1,177.76
JEFFERSON N EXPAN MEM,Memorial,MO-IL,Midwest,85.46,5.5,0.0,90.96,16.64,85.23,101.87,192.83
KINGS MT NMP,National Military Park,SC,Southeast,3945.29,0.0,0.0,3945.29,0.0,0.0,0.0,3945.29
JIMMY CARTER NHS,National Historic Site,GA,Southeast,36.81,8.81,1.92,47.54,0.0,24.67,24.67,72.21
JEWEL CAVE NM,National Monument,SD,Midwest,1273.51,0.0,0.0,1273.51,0.0,0.0,0.0,1273.51
KALAUPAPA NHP,National Historical Park,HI,Pacific West,22.88,0.0,0.0,22.88,10684.0,72.0,10756.0,10778.88
KENNESAW MT NBP,National Battlefield Park,GA,Southeast,2887.92,0.0,0.0,2887.92,6.37,0.0,6.37,2894.29
KENAI FJORDS NP,National Park,AK,Alaska,603129.86,0.0,0.0,603129.86,19302.0,47218.19,66520.19,669650.05
KINGS CANYON NP,National Park,CA,Pacific West,461846.05,0.0,0.0,461846.05,0.0,55.15,55.15,461901.2
KEWEENAW NHP,National Historical Park,MI,Midwest,135.78,0.0,0.0,135.78,0.0,1733.62,1733.62,1869.4
KATAHDIN WOODS AND WATERS NM,National Monument,ME,Northeast,87564.27,0.0,0.0,87564.27,0.0,0.0,0.0,87564.27
